"kol","lnk","gosp","gosc","frek","nFrek"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,pogon-szczecin,1650286.html","ŒL¥SK WROC£AW","POGOÑ SZCZECIN","Mecz ogl¹da³o 12445 osób","12445"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,wisla-krakow-sa,1650283.html","KKS LECH POZNAÑ","WIS£A KRAKÓW SA","Mecz ogl¹da³o 26361 osób","26361"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,wisla-plock-s-a,1650284.html","GKS PIAST GLIWICE S.A.","WIS£A P£OCK S.A.","Mecz ogl¹da³o 3784 osób","3784"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,bruk-bet-termalica-nieciecza,1650279.html","CRACOVIA SSA KRAKÓW","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 6431 osób","6431"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,gornik-zabrze-ssa,1650285.html","SANDECJA NOWY S¥CZ","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 1440 osób","1440"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,zaglebie-lubin,1650280.html","JAGIELLONIA BIA£YSTOK SSA","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 8375 osób","8375"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,arka-gdynia-ssa,1650282.html","LEGIA WARSZAWA S.A.","ARKA GDYNIA SSA","Mecz ogl¹da³o 14433 osób","14433"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,korona-sa-kielce,1650281.html","LECHIA GDAÑSK","KORONA SA KIELCE","Mecz ogl¹da³o 7066 osób","7066"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,slask-wroclaw,1650291.html","KORONA SA KIELCE","ŒL¥SK WROC£AW","Mecz ogl¹da³o 8147 osób","8147"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,lechia-gdansk,1650287.html","ARKA GDYNIA SSA","LECHIA GDAÑSK","Mecz ogl¹da³o 14112 osób","14112"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,jagiellonia-bialystok-ssa,1650294.html","WIS£A P£OCK S.A.","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 4111 osób","4111"
